cowords	actual sense	predicted sense	correct
have elite physical intellectual athlete apostolic monastic community elite spiritual religious athlete	2:42:00::	2:41:01::	0
be worried people crazy fool push button	2:41:01::	2:36:01::	0
understanding solar_system teach replace former elaborate ritual appropriate action case amount nothing	2:41:01::	2:36:02::	0
confront drunk insane person have notion	2:41:01::	2:36:02::	0
believe have effect action learn in_a_way commune drunk certainly action seem resemble more nearly performance rain_dance carry_out experiment physics	2:41:01::	2:42:01::	0
bourbon racial issue have less remain unreconstructed other factor	2:42:00::	2:36:02::	0
destroy confidence bank economy say	2:41:01::	2:41:04::	0
person note difference pleural blood supply exist animal nowhere published work find comparative study intrapulmonary feature various mammalian lung other_than dog cat person	2:41:01::	2:42:01::	0
in_addition little work comparative basis regard_to normal existence bronchial_artery pulmonary_artery anastomosis	2:41:01::	2:42:00::	0
too often beginning bodybuilder training secretly parent n't want sonny_boy lift all barbell thing stunt growth childish taunt schoolmate person muscle have time	2:41:01::	2:42:01::	0
see so many illustration read so many testimonial value two wonderworking person food supplement decide try see	2:41:01::	2:42:01::	0
real great	2:42:01::	2:41:04::	0
of_course exercising crazy water-skiing swimming vigorous exercise added food supplement pack_on pound solid muscle skinny frame	2:41:01::	2:36:01::	0
just n't at_all	2:41:01::	2:41:02::	0
time person entire chest back lat shoulder area be pumped-up almost burst point person take time a_bit more pectoral front deltoid shaping work	2:41:01::	2:42:01::	0
have person four six set incline_bench_press note high incline	2:36:01::	2:41:04::;2:41:01::	0
need fine exercise way	2:36:01::	2:36:02::	0
in_fact whole defensive unit good job	2:41:01::	2:41:02::	0
go_along little damage then hit a_couple_of pass touchdown put in_trouble	2:36:02::	2:42:00::	0
after_all pretty well other area olympics competition	2:42:00::	2:36:02::	0
be important improve	2:41:01::	2:36:01::	0
have dancing	2:42:00::	2:41:01::	0
school_teacher all_too unprepared job need demonstrator	2:41:04::	2:42:00::	0
be youngster know headstand also help other child learn	2:41:01::	2:36:00::	0
ask group ballerina ten pushup three chin-up result amount physical training have be very disappointing	2:41:04::	2:42:01::	0
